snapshot_date,store_code,item_code,barcode,inventory_quantity,available_quantity,on_order_quantity
2026-05-03,ST01,AD-001,7290022220011,2,2,12
2026-05-03,ST01,AD-003,7290022220035,1,1,6
2026-05-03,ST01,KD-001,7290011110011,18,18,0
2026-05-03,ST03,KD-001,7290011110011,4,4,24
2026-05-03,ST03,KD-002,7290011110028,3,3,18
2026-05-03,ST03,AD-001,7290022220011,9,9,0
2026-05-03,ST05,KD-003,7290011110035,3,3,18
2026-05-03,ST06,KD-004,7290011110042,2,2,24
2026-05-03,ST06,LT-002,7290044440028,1,1,48
2026-05-03,ST02,NA-001,7290033330011,42,42,0
2026-05-03,ST04,NA-002,7290033330028,38,38,0
2026-05-03,ST05,LT-001,7290044440011,55,55,0
