item_code,barcode,item_name,brand,category,supplier,cost_price,selling_price
KD-001,7290011110011,Keds Champion Classic White W37,Keds,Sneakers,Keds Israel,120.00,249.00
KD-002,7290011110028,Keds Champion Classic Black W38,Keds,Sneakers,Keds Israel,120.00,249.00
KD-003,7290011110035,Keds Triple Kick W36,Keds,Sneakers,Keds Israel,140.00,279.00
KD-004,7290011110042,Keds Kickstart Canvas Navy,Keds,Sneakers,Keds Israel,110.00,229.00
AD-001,7290022220011,Adidas Stan Smith White M42,Adidas,Sneakers,Adidas Israel,220.00,449.00
AD-002,7290022220028,Adidas Stan Smith Green M43,Adidas,Sneakers,Adidas Israel,220.00,449.00
AD-003,7290022220035,Adidas Samba OG Black,Adidas,Sneakers,Adidas Israel,260.00,549.00
AD-004,7290022220042,Adidas Gazelle Bold W37,Adidas,Sneakers,Adidas Israel,240.00,499.00
NA-001,7290033330011,Nautica Polo Shirt L Navy,Nautica,Apparel,Nautica Israel,80.00,199.00
NA-002,7290033330028,Nautica Crew Sweat XL,Nautica,Apparel,Nautica Israel,120.00,259.00
LT-001,7290044440011,Lifetime Cooler Bag 25L,Lifetime,Outdoor,Lifetime Israel,90.00,199.00
LT-002,7290044440028,Lifetime Tumbler 600ml Steel,Lifetime,Outdoor,Lifetime Israel,40.00,99.00
